Варвара Львовна Горшкова;Мезень;алл. Сосновая, д. 8/3 стр. 983;НЛМК;Бармен;8 221 802 5820;zoja_2015@rambler.ru;1984-05-25;154190
Федосий Ильич Фокин;Тамбов;ш. Портовое, д. 30 к. 4/8;Группа Ренессанс Страхование;Трейдер;+71671930925;isashcherbakov@yahoo.com;1999-12-04;78263
Николаев Иларион Алексеевич;Мелеуз;наб. Авиационная, д. 2/2;Азбука вкуса;Инженер по Технике Безопасности;+7 300 744 4313;mihail_1984@gmail.com;1982-07-08;67707
Лыткин Венедикт Виленович;Великие Луки;пр. Октябрьский, д. 648 стр. 347;ПКФ ДиПОС;Златокузнец;+76035054172;suvorovavasilisa@mail.ru;1973-05-16;124116
Авдей Эдуардович Юдин;Нижневартовск;пер. Нагорный, д. 41 к. 81;Группа Стройтрансгаз;Оператор РЛС;8 (841) 578-9321;silanti12@mail.ru;1992-05-30;53099
Носова Клавдия Романовна;Апрелевка;алл. Ленинская, д. 9;Мосинжпроект;Проводник;+7 009 649 9252;olimpi1999@rambler.ru;1959-02-18;81979
Афанасьева Глафира Захаровна;Ессентуки;ул. Деповская, д. 566 к. 729;Компания Луис Дрейфус Восток (Louis Dreyfus);Специалист по клеточным технологиям;+7 401 857 72 84;ratmir_76@gmail.com;1958-06-30;116578
Беспалова Вера Яковлевна;Череповец;пер. Лесхозный, д. 18 стр. 5;ВЭБ.РФ;Слесарь-механик;8 (402) 392-28-63;dobromisl10@yandex.ru;1963-10-19;90623
Виталий Теймуразович Власов;Териберка;пер. Кольцова, д. 2 стр. 2/9;Запсибгазпром;Кок;8 144 412 9775;ermakovamargarita@yahoo.com;1972-11-08;162273
Носов Ипатий Фёдорович;Хасан;бул. Петровский, д. 855;ГСЛ;Авиационный техник;8 386 892 8627;sharovgostomisl@gmail.com;1998-09-29;182405
Карп Артемьевич Виноградов;Ачинск;ул. Хвойная, д. 831;ТМК Чермет;Оператор машинного доения;89297509231;borisovavde@yandex.ru;1967-08-03;88346
Соболева Лидия Антоновна;Усть-Калманка;ул. Спартака, д. 12;Вектрум-К;Кузнец;89178280239;vatslav_1977@hotmail.com;2002-04-08;65839
Селезнева Олимпиада Болеславовна;Мытищи;наб. Советская, д. 2 к. 71;Эйч Энд Эм (H&M);Брокер;8 916 004 4728;jan30@hotmail.com;1999-01-30;88315
Марк Игнатьевич Корнилов;Березники;бул. Гражданский, д. 9/9 к. 5/5;Globaltrans;Сапёр;+7 (361) 598-4245;muhinaklavdija@hotmail.com;2001-01-03;166825
Бобров Амвросий Эдгардович;Снежинск;пер. Журавлева, д. 5 стр. 852;ПКФ ДиПОС;Холодильщик;+7 (008) 416-32-87;kotovalora@hotmail.com;1997-04-07;162158
Морозов Зиновий Давидович;Поярково;ш. Заозерное, д. 9 к. 476;Эбботт лэбораториз (Abbott Laboratories);Пастух;8 (369) 958-2358;strelkovaeleonora@hotmail.com;1987-12-29;46235
Медведев Эммануил Тимурович;Россошь;пр. Гоголя, д. 22 стр. 32;Национальная компьютерная корпорация;Религиовед;8 (060) 470-1182;kostinavde@yahoo.com;1954-01-09;48413
Любомир Глебович Кулагин;Избербаш;бул. Краснодарский, д. 16;ПК Балтика (Carlsbergfondet);Диетолог;+7 141 738 15 66;veronika_2006@yandex.ru;1977-11-04;139997
Веселов Харлампий Викентьевич;Лесной (Сверд.);бул. Прибрежный, д. 7;БСС;Травматолог;+7 (102) 106-2649;wfilippova@yahoo.com;1959-11-23;129003
Мирослав Эдуардович Пахомов;Калининград;ул. Тополиная, д. 75 к. 4/9;Адидас (Adidas);Секретчик;+7 770 406 5293;strelkovsokrat@hotmail.com;1981-07-21;177868
Антонина Феликсовна Кириллова;Кировск (Мурм.);алл. Февральская, д. 77 к. 2/6;Группа Черкизово;Борт-инженер;+7 (957) 814-2619;kira1980@hotmail.com;2000-06-07;138448
Лукьян Трифонович Лихачев;Домбай;алл. Клубная, д. 4/5;НПК Уралвагонзавод;Парикмахер;+7 407 957 0435;kulaginafaina@mail.ru;1979-09-30;186073
Святополк Валерьянович Виноградов;Чебаркуль;пер. Папанина, д. 51 к. 944;ВкусВилл;Финансист;+7 (564) 042-49-93;vantonov@mail.ru;1960-01-05;72236
Фадей Валерьянович Николаев;Волхов;ш. Победы, д. 68 стр. 562;Прогресс;Плиточник;8 748 334 74 93;rjabovmihail@mail.ru;1965-08-18;106293
Эраст Дмитриевич Анисимов;Дзержинск;наб. Чехова, д. 259 стр. 2;Данон  (Danone);Монтажник;8 407 938 0724;doroninatatjana@rambler.ru;1991-10-28;71523
Федорова Валентина Артемовна;Нязепетровск;наб. Ясная, д. 77 к. 32;Сэтл групп;Снайпер;8 (989) 217-3390;gorbachevfeofan@mail.ru;1952-05-10;109259
Белоусов Аникей Ефимович;Новый Оскол;пер. Грибоедова, д. 17 стр. 4/6;Вертолеты России;Военный судья;8 (821) 627-21-17;solovevvasili@mail.ru;1990-08-05;175879
Татьяна Борисовна Михайлова;Гремячинск (Бурят.);ул. Победа, д. 6/8 к. 9;ГК СНС;Преподаватель;8 (545) 428-48-73;tretjakovprokl@gmail.com;1957-06-27;177495
Русаков Ермил Гаврилович;Макушино;ул. Заливная, д. 3/8;Объединенная энергетическая компания;Ортопед;+7 771 880 7119;nkuzmin@rambler.ru;1954-05-19;171558
Мстислав Игнатьевич Григорьев;Тюмень;пер. Воровского, д. 4/2 к. 668;НЗНП;Генетик;+7 890 857 16 53;artemevizjaslav@gmail.com;1983-04-23;199593
Агафья Львовна Мельникова;Андреаполь;ш. Новгородское, д. 409;Группа О'кей;Ректор;+7 (634) 248-6396;miron2015@rambler.ru;1958-06-23;170486
Копылов Порфирий Харламович;Каргасок;наб. Халтурина, д. 38 к. 3;Северный ветер;Артист цирка;+7 077 315 84 89;gorbunovjuvenali@rambler.ru;1975-11-01;179769
Маргарита Леонидовна Гордеева;Нефтегорск (Самар.);наб. Мирная, д. 5/3 стр. 3;Казаньоргсинтез;Грейдерист;8 (768) 790-61-76;lazarzhuravlev@yandex.ru;1988-09-16;152912
Мишина Елена Валериевна;Чегем;пр. Чайкиной, д. 16 к. 72;Борисхоф 1 (Inchcape);Налоговый инспектор;+7 (416) 507-20-57;taisija91@hotmail.com;1996-04-30;22539
Александров Владилен Фомич;Александров;пер. Кленовый, д. 4 стр. 8/4;Аксель-Моторс;Государственный исполнитель;8 (519) 564-8638;emilija2017@rambler.ru;1976-06-30;61338
